sys_id;item;derivado;variavel;tipo;question_text_original;label;origem_label;avaliacao;label_ajustado;observacoes
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_company;texto;Company;Qual é a empresa do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_location;texto;Location;Qual é a localização do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_id;texto;ID Global;Qual é o ID Global do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_admission_date;data;Admission Date;Qual foi a data de admissão do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_supervisory;texto;Supervisory org;Qual é a organização supervisora do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_id_manager;texto;ID of Head;Qual é o ID Global do gestor?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_employment_type;texto;Type of Contract;Qual é o tipo de contrato do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_manager;texto;Head;Quem é o gestor (head) do colaborador?;modelo;;;
7153436d1b046d58d1abda4ce54bcb54;Desligamento Transferência Permanente Internacional;Desligar colaborador por transferência internacional permanente;v_job_profile;texto;Job Profile;Qual é o cargo (job profile) do colaborador?;modelo;;;
daebc4ad3b001290924d0247f4e45a0c;Solicitar pagamento de Aluguel e Condomínio Varejo							;Pagar aluguel, condomínio ou conta de consumo de loja;v_requesters_name;referência;Requester's name:;Quem está solicitando este pagamento?;modelo;;;
3a4932df87544b14ec360e530cbb3516;Solicitação de Prévia de Rescisão;Solicitar prévia de rescisão (diretores, +20 anos ou pacote de desligamento);name;texto;Name;Qual é o nome completo do colaborador?;modelo;;;
3a4932df87544b14ec360e530cbb3516;Solicitação de Prévia de Rescisão;Solicitar prévia de rescisão (diretores, +20 anos ou pacote de desligamento);global_id;texto;Global ID;Qual é o Global ID do colaborador?;modelo;;;
3a4932df87544b14ec360e530cbb3516;Solicitação de Prévia de Rescisão;Solicitar prévia de rescisão (diretores, +20 anos ou pacote de desligamento);date_admission;data;Date of Admission;Qual é a data de admissão do colaborador?;modelo;;;
1b4c8d151b5da118d1abda4ce54bcb4b;Solicitação de acesso ao portal GED;Solicitar acesso ao portal GED (Gestão Eletrônica de Documentos);registration_number;texto;Registration number (plate number);Qual é o seu número de registro (placa)?;modelo;;;
