sys_id;item;derivado;variavel;tipo;question_text_original;label;origem_label;avaliacao;label_ajustado;observacoes
5c8fbbfe1b754e90d1abda4ce54bcba5;Solicitação de compras descentralizadas;Solicitar requisição de compra descentralizada (PR ou CW);nova_codigo_lc116;texto;;Qual é a classificação do serviço na Lei Complementar 116/2003?;modelo (variável nova);;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_cpf_cnpj;texto;CPF or CNPJ;Qual é o seu CPF ou CNPJ?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_email;texto;Contact email;Qual é o seu e-mail de contato?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_which_company_is_your_request_for;lista;Which company is your request for?;Para qual empresa é a solicitação?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_which_company_do_you_want_to_ship_to;referência;Which company do you want to ship to?;Para qual empresa é o envio da mercadoria?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_which_sub_company_is_the_request_from;referência;Which sub-company is the request from?;Qual é a subempresa da sua solicitação?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_name;texto;Name;Qual é o seu nome?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_phone;texto;Contact phone;Qual é o seu telefone de contato?;modelo;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;nova_anexo;anexo;;Envie a planilha ou o PDF da nota fiscal;modelo (variável nova);;;
5c8fbbfe1b754e90d1abda4ce54bcba5;Solicitação de compras descentralizadas;Solicitar requisição de compra descentralizada (PR ou CW);v_attach_supplier_email_with_commercial_proposal;anexo;Attach the supplier's email with commercial proposal here;Anexe o e-mail do fornecedor com a proposta comercial.;1ª análise;;;
5c8fbbfe1b754e90d1abda4ce54bcba5;Solicitação de compras descentralizadas;Solicitar requisição de compra descentralizada (PR ou CW);v_attach_completed_template;anexo;Attach the completed template here;Anexe o template de compra preenchido.;1ª análise;;;
02733af71bb43910d1abda4ce54bcb4c;Emissão de Notas Fiscais de Industrialização;Solicitar nota fiscal de remessa para industrialização;v_which_invoice_number_do_you_want_to_join;texto;Which invoice number do you want to join?;Qual o número da nota que deve ser vinculada?;1ª análise;;;
