sys_id_item;item;status;derivados;variavel;tipo;coleta_dado;alteracao;codigo;variavel_nova;pergunta_variavel_nova;derivado_afetado;flow_workflow_do_item;fluxo_le_variavel (sim/não);observacoes_servicenow
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_transport_voucher_1;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_transport_voucher_2;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_transport_voucher_3;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";checkbox_vt_responsability;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_chartered_1;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_chartered_2;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_chartered_responsability;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_chartered_4;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";v_checkbox_responsability;checkbox;sim;unida;substituida_por;nova_aceite_termo;Você leu e aceita o termo de responsabilidade do benefício (link na descrição)?;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
23094fd91bfab990d1abda4ce54bcb29;Adesão, Alteração ou Cancelamento do Vale Transporte;dividido;"Aderir ao vale-transporte ou fretado
Alterar linhas do vale-transporte ou fretado
Cancelar vale-transporte ou fretado
Recusar vale-transporte (novo colaborador)";attach_your_transport_card_photo_here;anexo;sim;unida;substituida_por;nova_anexo_cartao_transporte;Envie a foto do(s) seu(s) cartão(ões) de transporte.;todos;"flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered (específico do item, published, 25 execuções)
flow disparado: EY: Adhesion, Amendment or Cancellation of the Transport Voucher and Chartered - Set attachment (específico do item, published, 0 execuções)";;
